Datum,Tijd,Team Thuis,Team Uit,Beschrijving ,Locatie
31-01-2020,20:00,Sweti Day 1,BC Alblasserdam VC 1,THUIS: BC Alblasserdam VC 1,Buitenhof
10-02-2020,20:00,LBV De Pluimbal 1,Sweti Day 1,UIT: LBV De Pluimbal 1,"Vreeloo, Veilingweg 16, De Lier"
14-02-2020,19:45,BBS 1,Sweti Day 1,UIT: BBS 1,"Sporthoeve, Vromade 1, Bodegraven"
17-02-2020,19:30,BC Meteoor 1,Sweti Day 1,UIT: BC Meteroor 1,"De Morgenstont, Forel 4, Hellevoetsluits"
20-02-2020,20:00,BC Schoonhoven 2,Sweti Day 1,UIT: BC Schoonhoven 2,"De Meent, 's-Heerenbergstraat 26, Schoonhoven"
03-03-2020,19:30,BC Alblasserdam VC 1,Sweti Day 1,UIT: BC Alblasserdam VC 1,"Blokweer, Sportlaan 3, Alblasserdam"
06-03-2020,20:00,Sweti Day 1,BC Schoonhoven 1,THUIS: BC Schoonhoven 1,Buitenhof
13-03-2020,20:00,Sweti Day 1,BV DEO 1,THUIS: BV DEO 1,Buitenhof
21-03-2020,10:30,BV DEO 1,Sweti Day 1,UIT: BV DEO 1,"Jan Janssenhal, Sportparkweg 34, Nootdorp"
27-03-2020,20:00,Sweti Day 1,LBV De Pluimbal 1,THUIS: LBV De Pluimbal 1,Buitenhof
03-04-2020,20:00,Sweti Day 1,BC Meteoor 1,THUIS: BC Meteoor 1,Buitenhof
10-04-2020,20:00,Sweti Day 1,BC Schoonhoven 2,THUIS: BC Schoonhoven 2,Buitenhof
07-05-2020,20:00,BC Schoonhoven 1,Sweti Day 1,UIT: BC Schoonhoven 1,"De Meent, 's-Heerenbergstraat 26, Schoonhoven"
15-05-2020,20:00,Sweti Day 1,BBS 1,THUIS: BBS 1,Buitenhof
